Rank,Peña Name,Team,Lieutenant Target,Primary Platform,Contact Path (Primary),Contact Path (Secondary),Contact Path (Tertiary),Script Variant,Status,CS,GR,AP,PP,TO,Total Score,Day 0 Date,Day 3 Follow-Up,Day 7 Channel Switch,Day 10 Warm Intro,Day 14 Final,Last Action Date,Last Action,Notes
1,Barra Insurgencia,Chivas (away CDMX),Account manager behind @barra_insurgencia,IG (22K),IG DM @barra_insurgencia,Email barralainsurgencia@gmail.com,FB message,C (visitante),sourced,5,5,5,5,4,24,,,,,,,,Email available = highest access. Airport reception coordination proves logistics need.
2,Legion 1908 DF,Chivas (away CDMX),Person posting meetup times on @legion1908_df,IG (1K + 2.3K),IG DM @legion1908dfoficial,FB message Legion 1908 DF,X DM @legion1908df,C (visitante),sourced,5,5,4,5,3,22,,,,,,,,20+ years biweekly CDMX-GDL bus logistics. Fixed meetup at San Jeronimo/5 de Febrero.
3,Ritual del Kaoz (La 48),America,Person managing @LA48_OFICIAL (X) and FB travel page,IG + X (3.2K posts),IG DM @losrk1999,X DM @LA48_OFICIAL,FB message Ritual Del Kaoz,A (logistica),sourced,5,5,4,4,4,22,,,,,,,,FB page says "informacion de viajes proyectos y eventos." Barras Unidas signatory.
4,La Sangre Azul,Cruz Azul,Block ("bloque") leaders via IG engagement,IG (13K) + FB (210K),IG DM @la.sangre.azul.official,X DM @La_SangreAzul_,FB message La Sangre Azul,A (logistica),sourced,5,5,3,5,4,22,,,,,,,,Largest CDMX barra social following. Block-based structure = natural squads.
5,Safer Chivas Tour,Chivas (travel coordinator),Direct operator — WhatsApp bookings + card payments,WhatsApp + IG + TikTok,WhatsApp 55 6187 2894,IG DM @safer_chivas_tour,TikTok comment @saferchivastour,C (visitante),sourced,5,4,5,4,5,23,,,,,,,,Most tech-forward lead. Multi-channel. Family-friendly. Direct WhatsApp access.
6,La Rebel,Pumas,Credentialization team manager,IG + X,IG DM @rebel_orgulloazulyoro,X DM @oficialazulyoro,FB message,A (logistica),sourced,5,5,3,4,3,20,,,,,,,,3800 credentialized members. Most organized CDMX barra. Need to find credential ops person.
7,Libres y Lokos,Tigres (travels to CDMX),Travel logistics coordinator beneath Samuel Reyes,IG (132K) + X,IG DM @weblibresylokos,X DM @LIBRESYLOKOS,Website libresylokos.net contact,C (visitante),sourced,5,5,3,4,4,21,,,,,,,,132K IG. Self-sustaining business. 1000-person Buenos Aires trip. Monterrey-based — time around CDMX away match.
8,La Adiccion,Rayados (travels to CDMX),Bus trip coordinator for CDMX travel,IG (99K + 12K) + X,IG DM @la.adiccion,X DM @LAADICCIONCFM,IG DM @laadiccioncfm,C (visitante),sourced,4,5,3,4,4,20,,,,,,,,Massive following. Repeatedly sanctioned for away travel = persistent. Monterrey-based.
9,Furia Azteca,Seleccion Mexicana,Organizers of International Fans Cup 2026,IG + Web,IG DM @furia_azteca_oficial,Website furiaazteca.com contact form,,A (logistica),sourced,4,4,4,3,4,19,,,,,,,,Direct World Cup relevance. FMF-recognized. Cross-club membership. Planning CDMX fan event.
10,Barra Perra Brava,Toluca (1hr from CDMX),Physical HQ staff — person answering phone/email,Phone + Email + IG,Phone +52 722 214 0444,Email barraperrabrava@hotmail.com,IG DM @barraperrabrava,C (visitante),sourced,4,5,5,4,3,21,,,,,,,,38 years active. Physical HQ with phone. Toluca 1hr from CDMX = de facto CDMX group.
